編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLMKQHJGFAD77CB,武聖段,2.79,都市：住,10000,50,持分移轉,25340000
RPQNMLMKQHJGFAD77CB,武聖段,1.32,都市：住,10000,50,持分移轉,25340001
RPQNMLMKQHJGFAD77CB,武聖段,13.73,都市：住,10000,50,持分移轉,25340002
RPQNMLMKQHJGFAD77CB,武聖段,7.31,都市：住,10000,50,持分移轉,25340003
RPPOMLNKQHJGFKD88CB,北極段,18.43,都市：住,100000,955,持分移轉,02950000
RPQNMLNKQHJGFKD88CB,鹽新段,30.74,都市：住,10000,86,持分移轉,00950000
RPQNMLOKQHJGFID78CB,二空段,15.50,都市：住,100000,152,持分移轉,10670000
RPOPMLRKQHJGFBD38CB,鎮安段,19.60,都市：住,100000,930,持分移轉,18080000
RPVNMLOKQHJGFHD56CB,樹王段,103.97,都市：住,1,1,全筆移轉,09750023
RPRNMLNKQHJGFKD98CB,鹽新段,25.74,都市：住,10000,72,持分移轉,00950000
RPSNMLRKQHJGFKD86CB,三村段,4.18,都市：住,10000,99,持分移轉,07850000
RPSNMLRKQHJGFKD86CB,三村段,6.11,都市：住,10000,99,持分移轉,07880000
RPSNMLRKQHJGFKD86CB,三村段,3.07,都市：住,10000,99,持分移轉,07890000
RPSNMLRKQHJGFKD86CB,三村段,.01,都市：住,10000,99,持分移轉,07970000
RPSNMLRKQHJGFKD86CB,三村段,.02,都市：住,10000,99,持分移轉,07970003
RPSNMLRKQHJGFKD86CB,三村段,.02,都市：住,10000,99,持分移轉,07970004
RPSNMLRKQHJGFKD86CB,三村段,1.09,都市：住,10000,99,持分移轉,07990000
RPSNMLRKQHJGFKD86CB,三村段,1.18,都市：住,10000,99,持分移轉,08000000
RPSNMLRKQHJGFKD86CB,三村段,.45,都市：住,10000,99,持分移轉,08010000
RPSNMLRKQHJGFKD86CB,三村段,2.82,都市：住,10000,99,持分移轉,08190000
RPSNMLRKQHJGFKD86CB,三村段,1.95,都市：住,10000,99,持分移轉,08200000
RPSNMLRKQHJGFKD86CB,三村段,.53,都市：住,10000,99,持分移轉,08210000
RPQNMLSKQHJGFHD09CB,新太段,34.53,都市：住,10000,196,持分移轉,11090000
RPRNMLRKQHJGFKD76CB,三村段,5.28,都市：住,10000,125,持分移轉,07850000
RPRNMLRKQHJGFKD76CB,三村段,7.72,都市：住,10000,125,持分移轉,07880000
RPRNMLRKQHJGFKD76CB,三村段,3.88,都市：住,10000,125,持分移轉,07890000
RPRNMLRKQHJGFKD76CB,三村段,.01,都市：住,10000,125,持分移轉,07970000
RPRNMLRKQHJGFKD76CB,三村段,.02,都市：住,10000,125,持分移轉,07970003
RPRNMLRKQHJGFKD76CB,三村段,.03,都市：住,10000,125,持分移轉,07970004
RPRNMLRKQHJGFKD76CB,三村段,1.38,都市：住,10000,125,持分移轉,07990000
RPRNMLRKQHJGFKD76CB,三村段,1.49,都市：住,10000,125,持分移轉,08000000
RPRNMLRKQHJGFKD76CB,三村段,.57,都市：住,10000,125,持分移轉,08010000
RPRNMLRKQHJGFKD76CB,三村段,3.56,都市：住,10000,125,持分移轉,08190000
RPRNMLRKQHJGFKD76CB,三村段,2.46,都市：住,10000,125,持分移轉,08200000
RPRNMLRKQHJGFKD76CB,三村段,.67,都市：住,10000,125,持分移轉,08210000
RPPNMLTKQHJGFAD38CB,武聖段,2.46,都市：住,10000,44,持分移轉,25340000
RPPNMLTKQHJGFAD38CB,武聖段,1.16,都市：住,10000,44,持分移轉,25340001
RPPNMLTKQHJGFAD38CB,武聖段,12.08,都市：住,10000,44,持分移轉,25340002
RPPNMLTKQHJGFAD38CB,武聖段,6.43,都市：住,10000,44,持分移轉,25340003
RPPNMLSKQHJGFID09CB,深坑子段,22.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,22,持分移轉,03300000
RPQNMLTKQHJGFAD48CB,武聖段,2.46,都市：住,10000,44,持分移轉,25340000
RPQNMLTKQHJGFAD48CB,武聖段,1.16,都市：住,10000,44,持分移轉,25340001
RPQNMLTKQHJGFAD48CB,武聖段,12.08,都市：住,10000,44,持分移轉,25340002
RPQNMLTKQHJGFAD48CB,武聖段,6.43,都市：住,10000,44,持分移轉,25340003
RPQNMLTKQHJGFKD86CB,西勢段,23.80,都市：住,10000,205,持分移轉,01600007
RPRNMLTKQHJGFAD58CB,大銃段,20.22,都市：商,10000,121,持分移轉,08500000
RPQNMLTKQHJGFHD56CB,北小新段,73.49,都市：住,1,1,全筆移轉,02070003
RPPNMLTKQHJGFFD98DB,安東段,8.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,382,持分移轉,00200000
RPPNMLTKQHJGFFD98DB,安東段,27.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,1111,持分移轉,00320000
RPPNMLTKQHJGFFD98DB,安東段,76.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00340000
RPPNMLKLQHJGFBD67CB,國安段,19.87,都市：住,10000,35,持分移轉,15600001
RPSNMLTKQHJGFKD07CB,市政段,24.63,都市：住,100000,1365,持分移轉,03360000
RPTNMLKLQHJGFCD18CB,平實段,10.88,都市：商,100000,107,持分移轉,00450000
RPTNMLKLQHJGFCD18CB,平實段,2.06,都市：商,100000,107,持分移轉,00450001
RPRNMLKLQHJGFHD48CB,新北段,14.54,都市：住,100000,1237,持分移轉,00040000
RPRNMLKLQHJGFHD48CB,新北段,.72,都市：住,100000,1237,持分移轉,00110000
RPRNMLKLQHJGFHD48CB,新北段,4.91,都市：住,100000,1237,持分移轉,00110001
RPTNMLKLQHJGFHD68CB,新北段,16.77,都市：住,10000,107,持分移轉,00660000
RPUNMLKLQHJGFHD78CB,什美段,31.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1208,持分移轉,08950000
RPQNMLKLQHJGFHD38CB,善駕段,1.57,都市：住,100000,469,持分移轉,01130000
RPQNMLKLQHJGFHD38CB,善駕段,.02,都市：住,100000,469,持分移轉,01140000
RPPNMLKLQHJGFID38CB,白崙段,12.26,都市：商,100000,758,持分移轉,00770000
RPQNMLKLQHJGFHD38CB,善駕段,.02,都市：住,100000,469,持分移轉,01150000
RPQNMLKLQHJGFHD38CB,善駕段,.00,都市：住,100000,469,持分移轉,01160000
RPQNMLKLQHJGFHD38CB,善駕段,.35,都市：住,100000,469,持分移轉,01170000
RPQNMLKLQHJGFHD38CB,善駕段,.13,都市：住,100000,469,持分移轉,01180000
RPQNMLKLQHJGFHD38CB,善駕段,19.58,都市：住,100000,469,持分移轉,01340000
RPSNMLKLQHJGFHD58CB,新北段,14.54,都市：住,100000,1237,持分移轉,00040000
RPSNMLKLQHJGFHD58CB,新北段,.72,都市：住,100000,1237,持分移轉,00110000
RPSNMLKLQHJGFHD58CB,新北段,4.91,都市：住,100000,1237,持分移轉,00110001
RPRNMLKLQHJGFID58CB,深坑子段,82.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03230066
RPRNMLKLQHJGFID58CB,深坑子段,25.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,78,1,持分移轉,03230000
RPQNMLKLQHJGFID48CB,深坑子段,80.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03230027
RPQNMLKLQHJGFID48CB,深坑子段,25.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,78,1,持分移轉,03230000
RPSNMLLLQHJGFAD97CB,裕民段,139.63,都市：住,1,1,全筆移轉,11630001
RPSNMLKLQHJGFID68CB,深坑子段,74.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03230059
RPSNMLKLQHJGFID68CB,深坑子段,25.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,78,1,持分移轉,03230000
RPPNMLKLQHJGFKD58CB,國聖段,28.48,都市：住,10000,137,持分移轉,02700000
RPPNMLLLQHJGFAD67CB,北元段,93.69,都市：住,1,1,全筆移轉,04890002
RPPNMLLLQHJGFID48CB,白崙段,18.84,都市：商,100000,1165,持分移轉,00770000
RPSNMLLLQHJGFCD18CB,公英段,29.56,都市：住,100000,1208,持分移轉,04490000
RPSNMLLLQHJGFCD18CB,公英段,1.29,都市：住,100000,1208,持分移轉,04900008
RPQNMLLLQHJGFBD87CB,安慶段,25.14,都市：住,10000,87,持分移轉,01430000
RPPNMLLLQHJGFHD38CB,樹王段,95.77,都市：住,1,1,全筆移轉,09750032
RPPNMLLLQHJGFHD38CB,樹王段,7.78,都市：住,16,1,持分移轉,09750041
RPPNMLLLQHJGFHD38CB,樹王段,19.54,都市：住,15,1,持分移轉,09750042
RPPNMLLLQHJGFKD68CB,文化段,24.46,都市：住,10000,149,持分移轉,01660000
RPPNMLMLQHJGFGD38CB,西埔段,75.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01790039
RPPNMLMLQHJGFGD38CB,西埔段,20.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,41,1,持分移轉,01790041
RPPNMLMLQHJGFHD48CB,港口段,25.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,66,持分移轉,32120000
