編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLMKQHJGFAO66CB,坡道平面,2250000,38.04,地下一樓
RPQNMLQKQHJGFAO66CB,坡道平面,2500000,25.76,地下一樓
RPSNMLNKQHJGFAO56CB,坡道平面,2300000,21.51,地下二樓
RPSNMLNKQHJGFAO56CB,坡道平面,2350000,23.38,地下二樓
RPPNMLOKQHJGFAO98CB,坡道平面,2500000,18.26,地下二樓
RPRNMLNKQHJGFAO09CB,坡道平面,3550000,67.32,地下二樓
RPSNMLRKQHJGFAO96CB,坡道平面,2100000,28.10,地下三樓
RPQNMLOKQHJGFAO09CB,坡道平面,2550000,19.98,地下一樓
RPQNMLOKQHJGFAO09CB,坡道平面,2550000,19.98,地下一樓
RPQNMLOKQHJGFAO09CB,坡道平面,2450000,23.51,地下一樓
RPPNMLTKQHJGFAO86CB,坡道平面,2200000,21.08,地下二樓
RPPNMLKLQHJGFAO68CB,坡道平面,3100000,33.72,地下一樓
RPQNMLKLQHJGFAO78CB,坡道平面,2900000,33.72,地下二樓
RPQNMLQLQHJGFAO76CB,坡道平面,2300000,23.99,地下一樓
RPRNMLPLQHJGFAO76CB,坡道平面,2050000,22.56,地下四樓
RPQNMLLLQHJGFAO98DB,坡道平面,1950000,35.97,地下一樓
RPRNMLQLQHJGFAO86CB,坡道平面,2300000,22.00,地下一樓
RPPNMLQLQHJGFAO66CB,坡道平面,2350000,22.00,地下一樓
RPPNMLQLQHJGFAO66CB,坡道平面,2300000,22.00,地下一樓
RPSNMLQLQHJGFAO96CB,坡道平面,2500000,25.76,地下一樓
RPSNMLPLQHJGFAO86CB,坡道平面,2100000,22.56,地下二樓
RPTNMLQLQHJGFAO07CB,坡道平面,2500000,25.76,地下一樓
RPUNMLQLQHJGFAO17CB,坡道平面,2300000,25.76,地下二樓
RPWNMLQLQHJGFAO37CB,坡道平面,2200000,22.00,地下二樓
RPOOMLQLQHJGFAO66CB,坡道平面,2500000,29.32,地下一樓
RPQOMLQLQHJGFAO86CB,坡道平面,2650000,24.08,地下一樓
RPQOMLQLQHJGFAO86CB,坡道平面,2500000,22.00,地下一樓
RPXNMLQLQHJGFAO47CB,坡道平面,2300000,25.76,地下二樓
RPPOMLQLQHJGFAO76CB,坡道平面,2500000,22.00,地下一樓
RPVNMLQLQHJGFAO27CB,坡道平面,2350000,22.00,地下一樓
RPSOMLQLQHJGFAO07CB,坡道平面,2250000,25.09,地下二樓
RPROMLQLQHJGFAO96CB,坡道平面,2300000,22.00,地下二樓
RPTOMLQLQHJGFAO17CB,坡道平面,2300000,22.00,地下一樓
RPUOMLQLQHJGFAO27CB,坡道平面,2250000,22.00,地下二樓
RPVOMLQLQHJGFAO37CB,坡道平面,2300000,22.00,地下一樓
RPPPMLQLQHJGFAO86CB,坡道平面,2400000,31.91,地下二樓
RPPPMLQLQHJGFAO86CB,坡道平面,2300000,22.00,地下二樓
RPWOMLQLQHJGFAO47CB,坡道平面,2350000,23.21,地下二樓
RPQPMLQLQHJGFAO96CB,坡道平面,2200000,22.00,地下二樓
RPOPMLQLQHJGFAO76CB,坡道平面,2500000,28.32,地下一樓
RPOPMLQLQHJGFAO76CB,坡道平面,2350000,22.00,地下一樓
RPXOMLQLQHJGFAO57CB,坡道平面,2300000,28.32,地下二樓
RPQNMLRLQHJGFAO86CB,坡道平面,2100000,23.91,地下一樓
RPSPMLQLQHJGFAO17CB,坡道平面,2280000,22.00,地下二樓
RPRPMLQLQHJGFAO07CB,坡道平面,2300000,22.00,地下一樓
RPPNMLRLQHJGFAO76CB,坡道平面,2000000,28.80,地下三樓
RPQNMLSLQHJGFAO96CB,坡道平面,2200000,23.99,地下二樓
RPSNMLSLQHJGFAO17CB,坡道平面,2450000,37.88,地下一樓
RPTNMLLMQHJGFAO66CB,坡道平面,2800000,34.51,地下二樓
RPVNMLLMQHJGFAO86CB,坡道平面,2600000,34.51,地下四樓
RPUNMLLMQHJGFAO76CB,坡道平面,2650000,31.70,地下三樓
RPQNMLPJRHJGFAO56CB,坡道平面,2000000,29.12,地下二樓
RPUNMLMJRHJGFAO66CB,一樓平面,2650000,20.56,一樓
RPPNMLPJRHJGFAO09CB,坡道平面,2450000,26.72,地下一樓
RPRNMLPJRHJGFAO66CB,坡道平面,1950000,26.81,地下二樓
